term,E,P,A,E2,P2,A2
perform blowjob with condom,0.64,0.00,0.96,1.61,1.61,1.61
perform blowjob without condom,3.21,1.29,2.89,-3.86,-1.93,-0.96
receive blowjob with condom,-0.64,0.00,-2.57,3.21,2.13,0.64
receive blowjob without condom,2.57,2.57,0.64,-3.21,-1.29,-1.71
perform jackoff,-0.42,0.84,1.29,2.57,2.78,3.21
receive jackoff,2.86,2.13,2.28,2.86,2.13,2.28
give dirty talk,-1.29,0.64,0.64,2.31,2.52,1.80
receive dirty talk,-0.42,-0.42,-0.42,3.42,1.49,3.00
give phone sex,-0.64,-0.64,0.00,1.93,0.64,1.29
receive phone sex,-0.32,0.00,-0.32,3.21,0.64,2.89
perform anal intercourse with condom,1.71,1.29,0.00,2.25,2.25,1.93
perform anal intercourse without condom,3.42,2.57,3.00,-3.21,-1.93,1.61
receive anal intercourse with condom,2.78,0.64,1.49,2.78,0.64,1.49
receive anal intercourse without condom,-2.57,-3.00,-1.93,-2.57,-3.00,-1.93,
