term,E,P,A,E2,P2,A2
Merging voluntarily into one nation state,2.4,1.6,1.9,2.2,2.2,0.7
Forming one nation with one legally binding government,1.9,1.5,1.5,2.3,2.3,0.7
Fighting aWar jointly,0.1,1.5,1.9,0.9,1.4,0.7
Establishing aJoint military command or alliance,0.8,1.1,0.9,1,1.8,0.4
Conducting joint military maneuvers,0.6,1.1,1,1.4,1.3,0
Establishing an economic common market,2.2,1,1,1.1,2.2,-0.1
Joining or organizing international alliances,1,1.3,0.6,1.5,1.6,0
Establishing joint program to raise the global quality of life,2.8,1.3,0.9,2.8,2,0.6
Selling nuclear power plants and material,-0.3,1.6,1,-0.6,2.1,0.2
Providing air naval or land facilities or bases,0.7,0.2,0.2,0.6,1.2,-0.3
Giving military technical or advisory assistance,1,1.3,0.9,0.9,1.1,0.1
Concluding military agreements,0.7,0.8,0.5,1.2,1.4,-0.4
Granting military aid,0.6,0.9,0.9,0.6,1.4,0.2
Training military personnel,0.3,0.8,0.6,0.5,1.1,0.4
Intervening with military support by request,0.7,1.5,1.5,0.8,1.4,0.9
Making economic loans grants,1.9,1.6,0.5,2.3,1.8,0.3
Agreeing to economic pacts,1.8,1.3,0.6,1.9,1.6,-0.8
Giving industrial cultural educational assistance,2.3,1.3,0.7,2.4,1.3,-0.1
Conducting trade agreements,1.8,0.9,0.7,2.2,1.3,0.2
Granting most favored nation status,1.7,1.3,0.3,2.1,1.5,0.4
Establishing common transportation communications,2,0.8,1,2.3,1.3,0.7
Selling industrial technological surplus supplies,1,0.7,0.3,1.5,1,0
Providing technical expertise,1.8,1.4,0.6,1.7,1.4,0.1
Ceasing economic restrictions,1.5,1,0.3,1.3,1.4,-0.3
Repaying debts,2,0.9,0.3,2.3,1.3,-1
Selling nonmilitary goods,1.4,0.6,-0.3,1.8,1.1,-0.7
Giving disaster relief,2.2,1.1,0.7,2.6,1.9,-0.2
Sharing highly advanced technology,1.9,1.6,1,2.1,1.5,0.8
Joint programs plans to initiate pursue disarmament,2.1,1.4,1,2.3,1.9,-0.5
Starting diplomatic relations,2.1,1,0.8,2.1,1.7,0.3
Establishing technological and scientific communications,2,0.7,0.4,1.8,1.5,0.3
Proposing or offering economic or military aid,1.1,1.3,0.4,1,1.3,-0.2
Recognizing governments,1.5,0.6,0.3,1.5,1.3,-0.3
Opening borders,0.6,1,0.8,1.6,1.6,0.2
Conducting or elevating friendship agreements,1.7,0.7,0.3,1.9,0.9,-0.4
Conducting cultural academic agreements exchanges,2,0.9,0.3,2.2,1.2,-0.4
Official support of policy,1.4,0.7,0.7,1.6,0.6,-0.1
Raising aDelegation to an embassy,1.8,0.6,0.9,1.8,0.8,-0.3
Reaffirming friendship,1.6,0.6,0.7,2.1,1.2,0
Apologizing for unfavorable statements and actions,1.4,0.2,0.3,1.5,0.3,0
Allowing press correspondents entry,1.8,0.6,0.7,1.8,1.1,0.3
Thanking for aid,1.8,-0.1,0.3,1.9,0.2,0
Resuming broken diplomatic or other relations,1.7,0.5,0.8,2.1,1.5,-0.2
Compensating for nationalized confiscated properties,-0.1,0.1,0.1,-0.3,0.1,-0.6
Meeting of high officials,1.4,0.5,0.7,1.9,1.1,0.2
Conferring on problems of mutual interest,1.7,0.8,0.5,2,1,-0.2
Visits by lower officials talks,1.2,0.1,-0.1,1.4,0.3,-0.6
Issuing joint communiques,0.9,0.3,0.5,0.8,0.1,-0.4
Appointing ambassadors,1.1,0.4,0.7,1.5,0.9,-0.7
Announcing aCease fire,1.9,0.7,0.8,2.1,1.2,0
Nongovernmental exchanges and visitors,1,0.3,0.3,1.2,0.3,-0.4
Proposing talks,1.6,0.5,0.5,1.6,1,-0.1
Public non governmental support of regime,0.6,0,0.6,1.1,0.4,0.4
Exchanging prisoners of war,1.8,0.5,0.5,1.8,0.8,-0.1
Asking for support of policy,0.5,-0.3,0,1,0.1,-0.6
Requesting change of policy,1.3,0.7,0.3,1.4,0.9,0
Asking for help against aThird party,0,0,-0.2,0.6,0.4,-0.5
Official verbal support of goals values regime,0,0.6,0.2,0.3,0.7,0.1
Rhetorical policy statements,-0.1,-0.3,0.6,-0.1,-0.4,0.6
Non consequential news items,-0.1,-0.4,-0.1,-0.2,-0.8,-0.1
Statements of indifference,-0.2,-0.5,-0.3,-0.5,-0.6,-0.3
No comment statements,-0.1,0.1,0.1,-0.3,0.1,0.1
Low key objection to policies or behavior,-0.3,-0.2,0.3,-0.9,-0.6,0.1
Communicating dissatisfaction through third party,-0.3,-0.2,0.3,-0.9,-0.6,-0.1
Recalling ambassador for emergency consultations,-0.3,0.5,0.8,-0.2,0.4,0.6
Warning of retaliation for acts,-0.8,1.3,1.3,0.01,1.1,0.5
Failing to reach an agreement,-1.2,-0.5,0.5,-1.2,-0.2,-0.3
Refusing aProtest note,-0.6,0.2,0.6,-1.1,0.4,0.2
Denying accusations,-0.1,-0.1,0.4,-0.4,-0.5,0.2
Objecting to explanations of goals positions etc,-1,-0.3,0.5,-0.9,0.1,0.3
Making threatening demands and accusations,-1.2,0.6,0.9,-1.4,0,1
Condemning strongly specific actions and policies,-0.6,0.3,1.1,-0.4,0.8,1
Granting sanctuary to opposition leaders,0.6,0.7,0.3,-0.2,0.7,0
Denouncing leaders system or ideology,-1,0,1.4,-0.8,0.3,1.5
Postponing visits by heads of state,-0.8,0.3,-0.3,1.1,0.4,0
Refusing participation in meetings or summits,-1.2,0.4,0.5,-1.6,0.1,0.4
Leveling strong propaganda attacks,-1,0.7,1.3,-1.6,0.6,1.3
Denying support,-0.8,0.5,0.5,-1,0.4,0.4
Blocking or vetoing policy or opposition,-0.7,1,0.6,-0.8,1,0
Increasing troop movements,-1.2,1.4,1.6,-0.9,1.3,0.7
Boycotts,-1,1,0.7,-1,1,0.3
Imposing economic sanctions,-1,0.5,0.5,-0.5,1.1,-0.2
Hindering movement through land waterways or air,-1.4,0.5,1.2,-1.6,0.7,0.4
Embargoing goods,-2.1,0.9,0.4,-1.3,0.9,-0.6
Refusing mutual trade rights,-1.4,0.4,0.5,-1.6,0.7,0.4
Closing borders and blocking free communications,-1.9,0.8,1.2,-1.8,1.2,1.2
Manipulating trade currency to cause economic problems,-2,1.3,1.2,-2,2,0.1
Halting aid,-1,1,0.8,-1.3,1.1,0.5
Mobilizing hostile demonstrations at target country,-0.7,0.8,1,-1.4,0.6,1.6
