term,E,P,A,E2,P2,A2,instcodes
To veto someones bill,-0.03,2.12,0.66,-0.22,2.10,0.48
To pass a law,1.07,1.59,-0.12,1.64,2.56,0.31
To endorse someone,1.05,1.27,0.74,1.71,1.43,0.73
To support someone,1.89,1.63,1.29,2.74,2.24,1.18
To favor someone,0.87,1.29,0.50,0.69,0.97,0.64
To oppose someone,0.37,0.81,0.95,0.07,1.20,1.28
To reject someone,-1.03,0.57,0.65,-1.54,0.89,0.31
To logroll with someone,-0.16,0.27,1.24,0.48,0.45,0.93
To frame political document,0.47,1.34,0.52,-0.47,0.85,0.43
To define something political,0.18,0.97,0.31,0.34,0.89,0.12
To analyze something,2.32,1.83,-0.53,1.67,1.16,-0.12
To oppress someone,-2.81,1.36,0.95,-2.52,1.37,0.32
To pork barrel something,-1.01,0.96,-0.50,-0.56,-0.06,0.00
To defend something,2.40,1.59,2.17,2.05,1.86,1.84
To authorize someone to do something,1.26,1.98,0.12,0.93,2.11,0.90
To control someone,-1.38,2.10,0.06,-1.59,1.73,1.14
To empower someone,1.92,1.80,1.25,1.03,2.25,1.56
To make a decision about something,1.95,1.75,0.72,2.06,1.72,0.92
To coerce someone,-0.61,1.62,0.06,-1.45,1.08,0.83
To negotiate with someone,2.28,1.55,0.67,1.73,1.48,0.63
Having Authority over others,0.21,1.73,0.82,0.53,2.34,1.22 
